oldGroups,Phylum,Class,Order,Family,Genus
Murdochiella,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Clostridia.1
Murdochiella.1,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Clostridia.1
NA albertii/boydii/coli/coli,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Negativicoccus,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Negativicoccus succinicivorans,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Odoribacter splanchnicus,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.3,Odoribacter splanchnicus
Odoribacter splanchnicus.1,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.3,Odoribacter splanchnicus
Olsenella,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.2
Oscillibacter,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Oscillibacter
Oscillibacter.1,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Oscillibacter
Oscillibacter.2,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Oscillibacter
Oscillibacter.3,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Oscillibacter
Oscillibacter.4,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Oscillibacter.1
Oscillibacter.5,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.7
Oscillibacter.6,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.7
Oscillibacter.7,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.7
Oscillibacter.8,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.7
Parabacteroides,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides distasonis,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides distasonis.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides distasonis.2,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides distasonis.3,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides goldsteinii,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides merdae,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Parabacteroides.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Parabacteroides
Paraprevotella,Bacteroidetes,Bacteroidetes,Bacteroidales,Paraprevotella,Paraprevotella
Paraprevotella xylaniphila,Bacteroidetes,Bacteroidetes,Bacteroidales,Paraprevotella,Paraprevotella
Paraprevotella.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Paraprevotella,Paraprevotella
Paraprevotella.2,Bacteroidetes,Bacteroidetes,Bacteroidales,Paraprevotella,Paraprevotella
Paraprevotella.3,Bacteroidetes,Bacteroidetes,Bacteroidales,Paraprevotella,Paraprevotella
Parasutterella excrementihominis,Proteobacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Parvimonas,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Parvimonas
Parvimonas micra,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Parvimonas
Peptococcus niger,Bacteria,Firmicutes,Clostridia,Clostridia,Peptococcus niger
Peptoniphilaceae,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptoniphilus,Bacteria,Firmicutes,Firmicutes,Clostridiales,Clostridiales.4
